Dorothy L. Sayers
Jeff Noon
B. F. Skinner
Merlin Stone
Frank Herbert
Richard Dawkins
Philip Kerr
Bernice Rubens
Neil Gaiman
Ivan Yefremov
George Gurdjieff
Reinaldo Arenas
Jean-Paul Sartre
Fred Saberhagen
Gore Vidal
Orson Scott Card
Ravi Sethi
Monica S. Lam
Alfred V. Aho
Jeffrey D. Ullman
Carl Sagan
Ernest Callenbach
Daniel Dennett
Orson Scott Card
Jean-Paul Sartre
John Cleland
Alvin Toffler
Susanna Kaysen
Scott Adams
Philip Roth
Margaret Wise Brown
Truman Capote
Albert Speer
Italo Calvino
William J. Kennedy
Sinclair Lewis
Terry Pratchett
Thomas Hobbes
Douglas Adams
George Zebrowski
Thomas Pynchon
G. I. Gurdjieff
Douglas Hofstadter
Colin Tudge
Noam Chomsky
Barbara Ehrenreich
Philip Roth
Project Management Institute
Tom Clancy
Maurice Shadbolt
Camille Paglia
James Clavell
Kurt Vonnegut
Terry Pratchett
William Styron
Terry Pratchett
Neil Gaiman
Hermann Hesse
Michael Moore
Dav Pilkey
Harold Bloom
William March
Greg Palast
Richard Dawkins
Albert Camus
Lois Lowry
Maiya Williams
Terry Pratchett
Jerry Pournelle
Larry Niven
Steven Barnes
Lawrence Manning
Douglas R. Hofstadter
Daniel Clement Dennett
Thomas Szasz
Umberto Eco
Joel Garreau
Norton Juster
Craig Harrison
Robertson Davies
Douglas Adams
Frank Herbert
Thomas B. Costain
Anne Rice
Grace Llewellyn
Anne Brontë
T. C. Boyle
Frank Herbert
John Norman
Oliver Sacks
Philip K. Dick
Amy Chua
Orson Scott Card
Geoff Ryman
John Rawls
William Faulkner
Colin Ward
Frank McCourt
Koushun Takami
Donella Meadows
Dennis Meadows
Bernard Goldberg
Louis de Bernières
E. O. Wilson
Jean-Paul Sartre
Geoffrey Moore
Stephen King
George Eliot
Lois McMaster Bujold
Stephen King
Tom Clancy
Anthony Trollope
Andrew Clements
Jawaharlal Nehru
Irvine Welsh
Wil McCarthy
Ludwig von Mises
Anonymous work
Wu Cheng'en
Ruth Rendell
Larry McMurtry
Orson Scott Card
William Goldman
Oliver Sacks
Christina Crawford
Virginia Woolf
Gerald Durrell
Roger Zelazny
Peter Carey
Joe Klein
C. S. Lewis
Roger Zelazny
T. E. Lawrence
Orson Scott Card
Roger Zelazny
Agatha Christie
Stephen Covey
Agatha Christie
Roald Dahl
Alexandre Dumas
Margaret Atwood
Carolyn Keene
Roger Zelazny
Bruce Sterling
William Gibson
Tobias Smollett
John Fowles
Stanisław Lem
Roger Zelazny
Roger Zelazny
Malcolm Bradbury
John Irving
Steven Pinker
Marguerite Duras
Elie Wiesel
Wladyslaw Szpilman
David Brin
