AFG
AL
DZ
BZ
bg
TCD
CO
503
679
PS
GH
1
GG
w
HKG
hu
ISK
JPN
KAZ
lr
ly
LUX
MLI
MLT
MHL
230
NAU
MAR
NLD
NER
NGA
ISO-3166 MP
OMN
PW
PLE
PRY
60
TPE
BAH
RS
+216
TV
UKR
UZB
V
WF
ZW
TRI
PS
AE
ES-P
ETH
TKM
ISO 3166-2:RS
so
POL
SAU
YEM
FRA
KEN
TCH
POR
IRQ
BDI
CAN
IRL
NKR
MEX
USA
GRE
GBR2
CAY
JAM
+52
BHR
QAT
ROU
NED
ZAM
SEN
RSA
GDR
92
RUS
CHN
KOR
ISR
GER
CHI
NZ
SWE
GBR
URS
NOR
TUR
SY
292
ISO 3166-1 alpha-2
ISO 3166-1 alpha-3
List of FIFA country codes
